Advertiser_ID,Advertiser_Name,Public_IDs_List,Total_Creatives,Total_Spend_USD,Race Type
AR100207290732249088,FRIENDS OF SUZY GLOWIAK,EIN ID 46-3931666,1,0,State House
AR100996740080992256,FreedomWorks Inc,EIN ID 52-1349353,120,13600,National
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,FEC ID C00669507,3,700,State
AR102122639987834880,MCCONNELL SENATE COMMITTEE,FEC ID C00193342,1,0,National
AR104374439801520128,KAMALA HARRIS FOR SENATE,FEC ID C00571919,21,2800,Senate
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",FEC ID C00580100,247,6400,National
AR109214489986990080,CORY BOOKER FOR SENATE,FEC ID C00540500,9,400,Senate
AR10924747533582336,HELLER FOR SENATE,FEC ID C00494229,377,62600,Senate
AR110003939335733248,"45COMMITTEE, INC.",EIN ID 47-3803487,1,0,National
AR111332149382086656,DELGADO FOR CONGRESS,FEC ID C00633859,14,1900,House
AR112255739149418496,Matt Rosendale for Montana,FEC ID C00548289,20,7500,House
AR1128098930098176,PATRICK MURPHY FOR CONGRESS,FEC ID C00411991,3,1100,House
AR113155139660939264,GROHMAN FOR CONGRESS,FEC ID C00676528,4,500,House
AR113425619521372160,COMMITTEE TO ELECT RICHARD OJEDA,FEC ID C00639989,16,700,House
AR114507538963103744,KUSTOFF FOR CONGRESS,FEC ID C00614826,3,2200,House
AR116759338776788992,GINA ORTIZ JONES FOR CONGRESS,FEC ID C00652297,47,4900,House
AR119011138590474240,WICKER FOR SENATE,FEC ID C00443218,251,11200,Senate
AR120137038497316864,BOB CASEY FOR SENATE INC,FEC ID C00431056,45,125700,Senate
AR120181018962427904,CHRISSY HOULAHAN FOR CONGRESS,FEC ID C00637371,80,900,House
AR12050647440424960,ANGIE CRAIG FOR CONGRESS,FEC ID C00575209,26,13300,House
AR12094627905536000,AMMAR CAMPA FOR CONGRESS,FEC ID C00635888,3,19800,House
AR121262938404159488,GREAT AMERICA PAC,FEC ID C00608489,135,2500,National
AR127323446496460800,FRIENDS OF GEORGE FLINN,FEC ID C00608406,5,2900,House
AR128018337845215232,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,FEC ID C00010603,28,17400,National
AR13000625486823424,"Salem Web Network, LLC ",EIN ID 52-2141739,20,76100,National
AR130270137658900480,WALTERS FOR CONGRESS,FEC ID C00546853,42,1700,House
AR131396037565743104,MIKE BISHOP FOR CONGRESS,FEC ID C00561001,8,3500,House
AR131699502775009280,ANITA FOR ARIZONA,FEC ID C00655134,3,700,House
AR13176547347267584,PENSLER FOR SENATE,FEC ID C00663278,87,56000,Senate
AR133964496728227840,GALE PARTNERS LLC,EIN ID 38-3970400,137,0,NA
AR134254767797960704,JOSH HARDER FOR CONGRESS,FEC ID C00639146,37,128400,House
AR134773737286270976,"JASON LEWIS FOR CONGRESS, INC.",FEC ID C00589234,9,36100,House
AR13594361765822464,GEORGE SCOTT FOR CONGRESS,FEC ID C00640961,4,900,House
AR135943617658224640,BALDERSON FOR CONGRESS,FEC ID C00662650,7,700,House
AR137025537099956224,VERN BUCHANAN FOR CONGRESS,FEC ID C00412759,34,11600,House
AR138151437006798848,MEDIA MATTERS FOR AMERICA,EIN ID 47-0928008,8,1000,National
AR139277336913641472,CATHY MCMORRIS RODGERS FOR CONGRESS,FEC ID C00390476,19,13800,House
AR140403236820484096,Need to Impeach,EIN ID 38-4081998,666,360700,National
AR140649527425105920,FRIENDS OF DAN FEEHAN,FEC ID C00649327,2,1200,House
AR14302447254110208,DONNELLY FOR INDIANA,FEC ID C00393652,43,24800,Senate
AR144198750959566848,CASTEN FOR CONGRESS,FEC ID C00648493,24,4900,House
AR14605912463376384,FLANDERS FOR US SENATE,FEC ID C00638791,30,4100,Senate
AR14638897812209664,FRIENDS OF DAVE JOYCE,FEC ID C00527457,9,1600,House
AR146984913424351232,Tidewater Strategies,EIN ID 46-1913576,7,100,National
AR147589644819628032,JOE CUNNINGHAM FOR CONGRESS,FEC ID C00650507,22,10500,House
AR148284536168382464,KIRKPATRICK FOR CONGRESS,FEC ID C00651042,5,18000,House
AR149454416540336128,"YOUNG FOR IOWA, INC.",FEC ID C00545616,5,3500,House
AR149746886633324544,CHRIS DEPIZZO FOR CONGRESS,FEC ID C00659151,24,3000,House
AR150536335982067712,CISNEROS FOR CONGRESS,FEC ID C00650648,10,101800,House
AR150782626586689536,TINA SMITH FOR MINNESOTA,FEC ID C00663781,18,61400,Senate
AR15428347160952832,KEN HARBAUGH FOR CONGRESS,FEC ID C00646752,12,10400,House
AR156165835516280832,MCCASKILL FOR MISSOURI,FEC ID C00431304,242,383000,Senate
AR156209815981391872,AMERICAN PATRIOTS PAC,FEC ID C00668905,1,9800,National
AR156623232353435648,ILLINOIS REPUBLICAN PARTY,FEC ID C00005926,21,9700,State
AR157010260446412800,JESSICA MORSE FOR CONGRESS,FEC ID C00650408,3,1000,House
AR157291735423123456,NRCC,FEC ID C00075820,144,728200,National
AR158243912492777472,JOHNSON FOR CONGRESS,FEC ID C00476820,24,900,House
AR158417635329966080,PATIENTS FOR AFFORDABLE DRUGS ACTION,FEC ID 275129182,4,45500,National
AR158754085888065536,CARTWRIGHT FOR CONGRESS,FEC ID C00509968,1,200,House
AR160260416818118656,PAC FOR A CHANGE,FEC ID C00342048,2,6100,National
AR16026481486462976,Galeotos for Governor Inc.,EIN ID 82-4377805,2,800,Gov
AR160915725748273152,DOUG MAYS FOR CONGRESS,FEC ID C00678516,5,0,House
AR161795335050493952,POLIS FOR COLORADO,EIN ID 82-1781651,195,76300,Gov
AR163873412026990592,WILLIAMS FOR MONTANA,,8,7100,House
AR164999311933833216,FRIENDS OF DUSTY JOHNSON,FEC ID C00628917,14,1000,House
AR166505642863886336,Freedom Club,EIN ID 80-0684337,2,700,National
AR167424834584707072,AMERICAN ACTION NETWORK INC,FEC ID C90011230,51,202700,National
AR16800537672417280,MATT CALDWELL CAMPAIGN,EIN ID 82-1363402,2,5000,State House
AR170283564816924672,FRIENDS OF SUSAN BROOKS,FEC ID C00500207,29,14000,House
AR171701934816755712,ELECT AARON LIEBERMAN,EIN ID 82-5527219,6,0,State House
